. Sequence file : [Hominid_ALB.phy]

. Model of nucleotides substitution : GTR

. Initial tree : [BioNJ]


. Data	Nb of 	Likelihood	Discrete   	Number of 	Gamma shape	Proportion of	Nucleotides frequencies               	Instantaneous rate matrix              	
  set	taxa	loglk     	gamma model	categories	parameter  	invariant    	f(A)      f(C)      f(G)      f(T)    	[A---------C---------G---------T------]	

      	     	          	           	          	           	             	                                      	 0.09896   0.47060   0.11250  -0.68206  
  #47	4   	-27323.28727	Yes        	4        	0.468    	0.193    	 0.30552   0.16803   0.17780   0.34864	-0.79181   0.09969   0.57556   0.11657  
      	     	          	           	          	           	             	                                      	 0.18126  -1.46125   0.28091   0.99907  
      	     	          	           	          	           	             	                                      	 0.98900   0.26548  -1.49634   0.24186  
      	     	          	           	          	           	             	                                      	 0.10215   0.48152   0.12334  -0.70701  
  #48	4   	-27621.23804	Yes        	4        	0.860    	0.199    	 0.31034   0.16748   0.17948   0.34271	-0.83586   0.15099   0.59799   0.08688  
      	     	          	           	          	           	             	                                      	 0.27980  -1.43330   0.25759   0.89591  
      	     	          	           	          	           	             	                                      	 1.03401   0.24037  -1.53855   0.26418  
      	     	          	           	          	           	             	                                      	 0.07867   0.43782   0.13835  -0.65484  
  #49	4   	-27732.80392	Yes        	4        	0.449    	0.191    	 0.30611   0.17667   0.17737   0.33985	-0.81959   0.13399   0.59536   0.09024  
      	     	          	           	          	           	             	                                      	 0.23217  -1.40512   0.20836   0.96459  
      	     	          	           	          	           	             	                                      	 1.02752   0.20754  -1.47122   0.23616  
      	     	          	           	          	           	             	                                      	 0.08128   0.50144   0.12325  -0.70598  
  #50	4   	-27500.31707	Yes        	4        	0.740    	0.198    	 0.30276   0.16949   0.18180   0.34595	-0.83958   0.12560   0.61321   0.10076  
      	     	          	           	          	           	             	                                      	 0.22437  -1.45439   0.22576   1.00427  
      	     	          	           	          	           	             	                                      	 1.02120   0.21046  -1.43700   0.20534  
      	     	          	           	          	           	             	                                      	 0.08819   0.49202   0.10791  -0.68812  
  #51	4   	-27427.31447	Yes        	4        	0.420    	0.190    	 0.30839   0.17204   0.17702   0.34255	-0.79501   0.10689   0.58030   0.10782  
      	     	          	           	          	           	             	                                      	 0.19162  -1.41540   0.27236   0.95142  
      	     	          	           	          	           	             	                                      	 1.01097   0.26470  -1.52585   0.25019  
      	     	          	           	          	           	             	                                      	 0.09707   0.47783   0.12929  -0.70418  
  #52	4   	-27574.19222	Yes        	4        	0.759    	0.198    	 0.29855   0.17428   0.18252   0.34465	-0.83546   0.12536   0.62218   0.08791  
      	     	          	           	          	           	             	                                      	 0.21475  -1.40825   0.22752   0.96598  
      	     	          	           	          	           	             	                                      	 1.01772   0.21725  -1.46822   0.23325  
      	     	          	           	          	           	             	                                      	 0.07615   0.48847   0.12352  -0.68814  
  #53	4   	-27307.01252	Yes        	4        	0.939    	0.199    	 0.31223   0.16882   0.18032   0.33863	-0.76601   0.08055   0.59995   0.08551  
      	     	          	           	          	           	             	                                      	 0.14897  -1.38863   0.22426   1.01540  
      	     	          	           	          	           	             	                                      	 1.03884   0.20995  -1.53469   0.28589  
      	     	          	           	          	           	             	                                      	 0.07885   0.50621   0.15223  -0.73729  
  #54	4   	-27627.99354	Yes        	4        	0.533    	0.193    	 0.31226   0.17297   0.18162   0.33315	-0.84659   0.12086   0.58456   0.14117  
      	     	          	           	          	           	             	                                      	 0.21819  -1.37384   0.24727   0.90838  
      	     	          	           	          	           	             	                                      	 1.00503   0.23549  -1.43737   0.19684  
      	     	          	           	          	           	             	                                      	 0.13232   0.47163   0.10731  -0.71126  
