. Sequence file : [Hominid_AHSG.phy]

. Model of nucleotides substitution : GTR

. Initial tree : [BioNJ]


. Data	Nb of 	Likelihood	Discrete   	Number of 	Gamma shape	Proportion of	Nucleotides frequencies               	Instantaneous rate matrix              	
  set	taxa	loglk     	gamma model	categories	parameter  	invariant    	f(A)      f(C)      f(G)      f(T)    	[A---------C---------G---------T------]	

  #33	4   	-13656.92774	Yes        	4        	1.350    	0.203    	 0.27719   0.22854   0.24905   0.24522	-0.78744   0.11225   0.63412   0.04106  
      	     	          	           	          	           	             	                                      	 0.13615  -1.14869   0.24792   0.76463  
      	     	          	           	          	           	             	                                      	 0.70576   0.22751  -1.13534   0.20207  
      	     	          	           	          	           	             	                                      	 0.04641   0.71261   0.20522  -0.96424  
  #34	4   	-13842.54840	Yes        	4        	882.253    	0.138    	 0.27465   0.23484   0.24346   0.24704	-0.92990   0.16098   0.70133   0.06759  
      	     	          	           	          	           	             	                                      	 0.18827  -1.00404   0.12633   0.68944  
      	     	          	           	          	           	             	                                      	 0.79118   0.12185  -1.13082   0.21780  
      	     	          	           	          	           	             	                                      	 0.07514   0.65539   0.21464  -0.94517  
  #35	4   	-13517.26410	Yes        	4        	618.416    	0.200    	 0.27888   0.23382   0.24624   0.24105	-0.91295   0.13119   0.70323   0.07854  
      	     	          	           	          	           	             	                                      	 0.15647  -1.02288   0.13570   0.73071  
      	     	          	           	          	           	             	                                      	 0.79643   0.12885  -1.09913   0.17385  
      	     	          	           	          	           	             	                                      	 0.09086   0.70879   0.17760  -0.97725  
  #36	4   	-13725.61041	Yes        	4        	382.584    	0.204    	 0.28356   0.22573   0.25053   0.24018	-0.85096   0.12491   0.67696   0.04909  
      	     	          	           	          	           	             	                                      	 0.15692  -1.01293   0.16101   0.69501  
      	     	          	           	          	           	             	                                      	 0.76623   0.14507  -1.17263   0.26133  
      	     	          	           	          	           	             	                                      	 0.05796   0.65319   0.27259  -0.98374  
  #37	4   	-13668.05762	Yes        	4        	382.584    	0.200    	 0.27521   0.23496   0.24260   0.24723	-0.86528   0.14107   0.66540   0.05880  
      	     	          	           	          	           	             	                                      	 0.16524  -1.06057   0.19256   0.70277  
      	     	          	           	          	           	             	                                      	 0.75486   0.18650  -1.15364   0.21228  
      	     	          	           	          	           	             	                                      	 0.06545   0.66789   0.20830  -0.94165  
  #38	4   	-13776.17372	Yes        	4        	382.584    	0.224    	 0.28089   0.23115   0.24912   0.23883	-0.85901   0.15007   0.67025   0.03869  
      	     	          	           	          	           	             	                                      	 0.18236  -1.07958   0.15253   0.74470  
      	     	          	           	          	           	             	                                      	 0.75573   0.14152  -1.10323   0.20598  
      	     	          	           	          	           	             	                                      	 0.04550   0.72076   0.21486  -0.98112  
  #39	4   	-13569.54974	Yes        	4        	3.127    	0.196    	 0.28109   0.23951   0.24249   0.23691	-0.89408   0.18383   0.68244   0.02781  
      	     	          	           	          	           	             	                                      	 0.21575  -1.01505   0.10984   0.68946  
      	     	          	           	          	           	             	                                      	 0.79107   0.10849  -1.13561   0.23605  
      	     	          	           	          	           	             	                                      	 0.03300   0.69705   0.24161  -0.97166  
  #40	4   	-13813.41682	Yes        	4        	618.416    	0.200    	 0.28310   0.24065   0.23824   0.23801	-0.84301   0.16755   0.61404   0.06142  
      	     	          	           	          	           	             	                                      	 0.19711  -1.04669   0.20075   0.64883  
      	     	          	           	          	           	             	                                      	 0.72968   0.20279  -1.17124   0.23878  
      	     	          	           	          	           	             	                                      	 0.07306   0.65604   0.23901  -0.96811  
  #41	4   	-13937.75291	Yes        	4        	882.194    	0.140    	 0.27062   0.23229   0.24703   0.25007	-0.93086   0.15934   0.68191   0.08961  
      	     	          	           	          	           	             	                                      	 0.18563  -0.96166   0.13985   0.63618  
      	     	          	           	          	           	             	                                      	 0.74703   0.13151  -1.15313   0.27459  
      	     	          	           	          	           	             	                                      	 0.09697   0.59094   0.27125  -0.95917  
  #42	4   	-13497.41644	Yes        	4        	0.439    	0.191    	 0.28478   0.23134   0.24252   0.24135	-0.81166   0.15863   0.59676   0.05627  
      	     	          	           	          	           	             	                                      	 0.19527  -1.11794   0.11360   0.80906  
