. Sequence file : [Hominid_COL1A2.phy]

. Model of nucleotides substitution : GTR

. Initial tree : [BioNJ]


. Data	Nb of 	Likelihood	Discrete   	Number of 	Gamma shape	Proportion of	Nucleotides frequencies               	Instantaneous rate matrix              	
  set	taxa	loglk     	gamma model	categories	parameter  	invariant    	f(A)      f(C)      f(G)      f(T)    	[A---------C---------G---------T------]	

      	     	          	           	          	           	             	                                      	 0.10037   0.57972   0.11157  -0.79166  
  #43	4   	-57460.73548	Yes        	4        	1.625    	0.203    	 0.30204   0.18932   0.18430   0.32434	-0.82748   0.10977   0.58044   0.13727  
      	     	          	           	          	           	             	                                      	 0.17512  -1.32349   0.20619   0.94218  
      	     	          	           	          	           	             	                                      	 0.95123   0.21180  -1.34023   0.17720  
      	     	          	           	          	           	             	                                      	 0.12783   0.54997   0.10069  -0.77849  
  #44	4   	-58014.14494	Yes        	4        	0.908    	0.199    	 0.30346   0.18897   0.18725   0.32032	-0.80051   0.11305   0.55980   0.12765  
      	     	          	           	          	           	             	                                      	 0.18155  -1.32770   0.17180   0.97435  
      	     	          	           	          	           	             	                                      	 0.90721   0.17337  -1.29683   0.21624  
      	     	          	           	          	           	             	                                      	 0.12093   0.57480   0.12641  -0.82215  
  #45	4   	-57466.17392	Yes        	4        	1.168    	0.201    	 0.30645   0.18866   0.18494   0.31995	-0.79738   0.11865   0.54908   0.12965  
      	     	          	           	          	           	             	                                      	 0.19274  -1.37261   0.24393   0.93595  
      	     	          	           	          	           	             	                                      	 0.90986   0.24883  -1.33739   0.17869  
      	     	          	           	          	           	             	                                      	 0.12418   0.55187   0.10329  -0.77934  
  #46	4   	-57447.57422	Yes        	4        	1.820    	0.204    	 0.30328   0.19176   0.18503   0.31993	-0.82197   0.12227   0.57707   0.12263  
      	     	          	           	          	           	             	                                      	 0.19336  -1.32687   0.20055   0.93295  
      	     	          	           	          	           	             	                                      	 0.94585   0.20785  -1.33395   0.18024  
      	     	          	           	          	           	             	                                      	 0.11625   0.55921   0.10424  -0.77970  
  #47	4   	-57808.72587	Yes        	4        	0.322    	0.186    	 0.30537   0.18547   0.18522   0.32393	-0.79719   0.11764   0.56592   0.11363  
      	     	          	           	          	           	             	                                      	 0.19370  -1.38275   0.22368   0.96537  
      	     	          	           	          	           	             	                                      	 0.93301   0.22397  -1.35149   0.19451  
      	     	          	           	          	           	             	                                      	 0.10712   0.55273   0.11122  -0.77106  
  #48	4   	-57379.33699	Yes        	4        	1.458    	0.202    	 0.30203   0.19167   0.18610   0.32021	-0.82753   0.11617   0.56401   0.14734  
      	     	          	           	          	           	             	                                      	 0.18306  -1.28846   0.24365   0.86175  
      	     	          	           	          	           	             	                                      	 0.91535   0.25094  -1.37152   0.20524  
      	     	          	           	          	           	             	                                      	 0.13898   0.51583   0.11928  -0.77409  
  #49	4   	-57569.09267	Yes        	4        	1.305    	0.202    	 0.30615   0.18929   0.18792   0.31664	-0.80813   0.12206   0.54518   0.14090  
      	     	          	           	          	           	             	                                      	 0.19741  -1.35120   0.22334   0.93045  
      	     	          	           	          	           	             	                                      	 0.88819   0.22497  -1.29509   0.18194  
      	     	          	           	          	           	             	                                      	 0.13623   0.55623   0.10798  -0.80043  
  #50	4   	-57436.19390	Yes        	4        	0.606    	0.196    	 0.30525   0.18823   0.18252   0.32401	-0.79867   0.11396   0.56003   0.12468  
      	     	          	           	          	           	             	                                      	 0.18481  -1.34186   0.23454   0.92252  
      	     	          	           	          	           	             	                                      	 0.93663   0.24187  -1.38898   0.21048  
      	     	          	           	          	           	             	                                      	 0.11747   0.53592   0.11857  -0.77196  
