. Sequence file : [Hominid_ODAM.phy]

. Model of nucleotides substitution : GTR

. Initial tree : [BioNJ]


. Data	Nb of 	Likelihood	Discrete   	Number of 	Gamma shape	Proportion of	Nucleotides frequencies               	Instantaneous rate matrix              	
  set	taxa	loglk     	gamma model	categories	parameter  	invariant    	f(A)      f(C)      f(G)      f(T)    	[A---------C---------G---------T------]	

      	     	          	           	          	           	             	                                      	 0.10356   0.52913   0.13686  -0.76956  
  #29	4   	-14256.35878	Yes        	4        	0.287    	0.324    	 0.34145   0.17151   0.16103   0.32601	-0.72252   0.18444   0.43068   0.10740  
      	     	          	           	          	           	             	                                      	 0.36718  -1.59548   0.27618   0.95212  
      	     	          	           	          	           	             	                                      	 0.91324   0.29417  -1.47213   0.26472  
      	     	          	           	          	           	             	                                      	 0.11248   0.50091   0.13075  -0.74415  
  #30	4   	-14057.06781	Yes        	4        	0.357    	0.207    	 0.33802   0.17074   0.15257   0.33866	-0.76256   0.21742   0.42233   0.12281  
      	     	          	           	          	           	             	                                      	 0.43043  -1.51097   0.15534   0.92520  
      	     	          	           	          	           	             	                                      	 0.93567   0.17384  -1.48797   0.37846  
      	     	          	           	          	           	             	                                      	 0.12258   0.46646   0.17050  -0.75954  
  #31	4   	-14273.77869	Yes        	4        	0.381    	0.207    	 0.33409   0.17137   0.15846   0.33608	-0.68733   0.15640   0.44273   0.08821  
      	     	          	           	          	           	             	                                      	 0.30491  -1.52001   0.17055   1.04456  
      	     	          	           	          	           	             	                                      	 0.93344   0.18444  -1.51000   0.39212  
      	     	          	           	          	           	             	                                      	 0.08769   0.53263   0.18489  -0.80520  
  #32	4   	-14189.52359	Yes        	4        	0.315    	0.261    	 0.33726   0.16951   0.15447   0.33876	-0.66627   0.12172   0.46903   0.07552  
      	     	          	           	          	           	             	                                      	 0.24218  -1.48409   0.22734   1.01457  
      	     	          	           	          	           	             	                                      	 1.02405   0.24946  -1.69289   0.41939  
      	     	          	           	          	           	             	                                      	 0.07518   0.50766   0.19124  -0.77408  
