. Sequence file : [Hominid_AMTN.phy]

. Model of nucleotides substitution : GTR

. Initial tree : [BioNJ]


. Data	Nb of 	Likelihood	Discrete   	Number of 	Gamma shape	Proportion of	Nucleotides frequencies               	Instantaneous rate matrix              	
  set	taxa	loglk     	gamma model	categories	parameter  	invariant    	f(A)      f(C)      f(G)      f(T)    	[A---------C---------G---------T------]	

      	     	          	           	          	           	             	                                      	 0.92555   0.27303  -1.40273   0.20415  
      	     	          	           	          	           	             	                                      	 0.12065   0.55969   0.11734  -0.79768  
  #39	4   	-22976.17278	Yes        	4        	0.613    	0.194    	 0.32477   0.19283   0.18419   0.29821	-0.73242   0.10772   0.53131   0.09339  
      	     	          	           	          	           	             	                                      	 0.18141  -1.38278   0.28601   0.91536  
      	     	          	           	          	           	             	                                      	 0.93680   0.29943  -1.40165   0.16543  
      	     	          	           	          	           	             	                                      	 0.10171   0.59191   0.10218  -0.79580  
  #40	4   	-23267.28990	Yes        	4        	0.658    	0.195    	 0.32322   0.19789   0.17970   0.29918	-0.80108   0.14451   0.56309   0.09347  
      	     	          	           	          	           	             	                                      	 0.23604  -1.25481   0.19257   0.82621  
      	     	          	           	          	           	             	                                      	 1.01280   0.21206  -1.44449   0.21963  
      	     	          	           	          	           	             	                                      	 0.10098   0.54648   0.13192  -0.77938  
  #41	4   	-23251.98487	Yes        	4        	0.339    	0.227    	 0.32860   0.19134   0.17910   0.30096	-0.77953   0.12362   0.58206   0.07385  
      	     	          	           	          	           	             	                                      	 0.21231  -1.31015   0.19512   0.90272  
      	     	          	           	          	           	             	                                      	 1.06789   0.20845  -1.46498   0.18863  
      	     	          	           	          	           	             	                                      	 0.08064   0.57392   0.11226  -0.76682  
  #42	4   	-23315.41720	Yes        	4        	0.656    	0.195    	 0.32493   0.19333   0.18922   0.29252	-0.70666   0.11022   0.53533   0.06111  
      	     	          	           	          	           	             	                                      	 0.18524  -1.37595   0.22135   0.96935  
      	     	          	           	          	           	             	                                      	 0.91929   0.22615  -1.35785   0.21241  
      	     	          	           	          	           	             	                                      	 0.06788   0.64063   0.13740  -0.84591  
  #43	4   	-23118.39030	Yes        	4        	1.579    	0.184    	 0.32328   0.19342   0.18343   0.29987	-0.75606   0.12974   0.54760   0.07873  
      	     	          	           	          	           	             	                                      	 0.21684  -1.36961   0.19794   0.95483  
      	     	          	           	          	           	             	                                      	 0.96514   0.20872  -1.35165   0.17778  
      	     	          	           	          	           	             	                                      	 0.08487   0.61587   0.10875  -0.80949  
  #44	4   	-22975.06343	Yes        	4        	0.387    	0.188    	 0.32100   0.19822   0.17856   0.30223	-0.75272   0.17354   0.47397   0.10521  
      	     	          	           	          	           	             	                                      	 0.28104  -1.40603   0.31612   0.80888  
      	     	          	           	          	           	             	                                      	 0.85206   0.35091  -1.40115   0.19817  
      	     	          	           	          	           	             	                                      	 0.11175   0.53051   0.11708  -0.75934  
  #45	4   	-23298.18630	Yes        	4        	0.489    	0.191    	 0.31784   0.19565   0.17823   0.30829	-0.81213   0.14890   0.54846   0.11476  
      	     	          	           	          	           	             	                                      	 0.24189  -1.32125   0.22222   0.85713  
      	     	          	           	          	           	             	                                      	 0.97807   0.24394  -1.39427   0.17226  
      	     	          	           	          	           	             	                                      	 0.11832   0.54397   0.09959  -0.76188  
  #46	4   	-23255.12134	Yes        	4        	0.755    	0.197    	 0.32329   0.19494   0.17519   0.30657	-0.73896   0.13162   0.53494   0.07240  
      	     	          	           	          	           	             	                                      	 0.21827  -1.35115   0.23161   0.90126  
      	     	          	           	          	           	             	                                      	 0.98716   0.25773  -1.47465   0.22977  
      	     	          	           	          	           	             	                                      	 0.07635   0.57310   0.13130  -0.78075  
  #47	4   	-23064.83905	Yes        	4        	0.972    	0.200    	 0.32413   0.19756   0.18128   0.29703	-0.74636   0.11068   0.50334   0.13234  
      	     	          	           	          	           	             	                                      	 0.18159  -1.26610   0.26610   0.81841  
      	     	          	           	          	           	             	                                      	 0.89999   0.28999  -1.43177   0.24179  
      	     	          	           	          	           	             	                                      	 0.14441   0.54432   0.14756  -0.83629  
  #48	4   	-23089.07036	Yes        	4        	0.342    	0.206    	 0.32814   0.19062   0.18319   0.29805	-0.73875   0.08477   0.54370   0.11027  
      	     	          	           	          	           	             	                                      	 0.14593  -1.27655   0.23361   0.89701  
      	     	          	           	          	           	             	                                      	 0.97389   0.24307  -1.44665   0.22968  
      	     	          	           	          	           	             	                                      	 0.12140   0.57367   0.14117  -0.83624  
  #49	4   	-23048.53845	Yes        	4        	1.457    	0.203    	 0.32315   0.19631   0.17878   0.30175	-0.71536   0.15268   0.48398   0.07871  
      	     	          	           	          	           	             	                                      	 0.25132  -1.42860   0.25245   0.92483  
      	     	          	           	          	           	             	                                      	 0.87479   0.27720  -1.36293   0.21094  
      	     	          	           	          	           	             	                                      	 0.08429   0.60168   0.12498  -0.81095  
  #50	4   	-23021.40778	Yes        	4        	0.683    	0.196    	 0.31812   0.19428   0.17886   0.30874	-0.75838   0.09978   0.56093   0.09766  
      	     	          	           	          	           	             	                                      	 0.16339  -1.31366   0.23003   0.92024  
      	     	          	           	          	           	             	                                      	 0.99769   0.24986  -1.44475   0.19720  
      	     	          	           	          	           	             	                                      	 0.10063   0.57907   0.11424  -0.79394  
  #51	4   	-23255.84432	Yes        	4        	0.598    	0.194    	 0.31927   0.19783   0.18335   0.29954	-0.79231   0.13325   0.57303   0.08602  
      	     	          	           	          	           	             	                                      	 0.21506  -1.25663   0.17157   0.87000  
      	     	          	           	          	           	             	                                      	 0.99781   0.18512  -1.40645   0.22351  
      	     	          	           	          	           	             	                                      	 0.09169   0.57459   0.13682  -0.80309  
  #52	4   	-23066.49023	Yes        	4        	0.790    	0.198    	 0.33040   0.18686   0.17311   0.30963	-0.73569   0.13050   0.53377   0.07142  
      	     	          	           	          	           	             	                                      	 0.23074  -1.41167   0.20417   0.97677  
      	     	          	           	          	           	             	                                      	 1.01878   0.22039  -1.44862   0.20945  
      	     	          	           	          	           	             	                                      	 0.07621   0.58948   0.11710  -0.78279  
  #53	4   	-23108.69991	Yes        	4        	0.593    	0.193    	 0.32699   0.18985   0.18285   0.30030	-0.85406   0.12308   0.63226   0.09872  
      	     	          	           	          	           	             	                                      	 0.21200  -1.16757   0.18624   0.76933  
      	     	          	           	          	           	             	                                      	 1.13065   0.19337  -1.53901   0.21498  
      	     	          	           	          	           	             	                                      	 0.10749   0.48637   0.13090  -0.72477  
  #54	4   	-23245.61006	Yes        	4        	1.447    	0.203    	 0.32464   0.19380   0.18054   0.30102	-0.76100   0.15301   0.49263   0.11536  
      	     	          	           	          	           	             	                                      	 0.25630  -1.36743   0.25482   0.85631  
      	     	          	           	          	           	             	                                      	 0.88586   0.27354  -1.36773   0.20833  
      	     	          	           	          	           	             	                                      	 0.12441   0.55130   0.12494  -0.80065  
  #55	4   	-23093.67848	Yes        	4        	0.411    	0.190    	 0.32102   0.19125   0.18096   0.30676	-0.77892   0.13282   0.54356   0.10255  
      	     	          	           	          	           	             	                                      	 0.22294  -1.29861   0.24002   0.83565  
      	     	          	           	          	           	             	                                      	 0.96426   0.25367  -1.46231   0.24438  
      	     	          	           	          	           	             	                                      	 0.10731   0.52099   0.14416  -0.77247  
  #56	4   	-22895.37992	Yes        	4        	2.096    	0.206    	 0.32154   0.19565   0.18186   0.30095	-0.72177   0.14351   0.47085   0.10741  
      	     	          	           	          	           	             	                                      	 0.23585  -1.36250   0.19772   0.92892  
      	     	          	           	          	           	             	                                      	 0.83251   0.21272  -1.30638   0.26115  
      	     	          	           	          	           	             	                                      	 0.11476   0.60390   0.15781  -0.87647  
  #57	4   	-23006.25051	Yes        	4        	0.575    	0.193    	 0.32293   0.19349   0.18289   0.30069	-0.77110   0.13713   0.52751   0.10646  
      	     	          	           	          	           	             	                                      	 0.22886  -1.37859   0.23653   0.91321  
      	     	          	           	          	           	             	                                      	 0.93141   0.25023  -1.33761   0.15597  
      	     	          	           	          	           	             	                                      	 0.11433   0.58765   0.09487  -0.79686  
  #58	4   	-22952.73421	Yes        	4        	0.506    	0.191    	 0.32521   0.19328   0.17806   0.30345	-0.75356   0.10836   0.56232   0.08288  
      	     	          	           	          	           	             	                                      	 0.18232  -1.31742   0.19042   0.94468  
      	     	          	           	          	           	             	                                      	 1.02705   0.20670  -1.43334   0.19959  
      	     	          	           	          	           	             	                                      	 0.08883   0.60172   0.11712  -0.80766  
  #59	4   	-22972.35644	Yes        	4        	0.421    	0.188    	 0.32424   0.19718   0.17453   0.30405	-0.77617   0.12544   0.55029   0.10044  
