. Sequence file : [Hominid_AMBN.phy]

. Model of nucleotides substitution : GTR

. Initial tree : [BioNJ]


. Data	Nb of 	Likelihood	Discrete   	Number of 	Gamma shape	Proportion of	Nucleotides frequencies               	Instantaneous rate matrix              	
  set	taxa	loglk     	gamma model	categories	parameter  	invariant    	f(A)      f(C)      f(G)      f(T)    	[A---------C---------G---------T------]	

  #40	4   	-24050.05630	Yes        	4        	1.031    	0.200    	 0.31666   0.19375   0.17933   0.31026	-0.77659   0.15448   0.54342   0.07869  
      	     	          	           	          	           	             	                                      	 0.25247  -1.34621   0.19972   0.89401  
      	     	          	           	          	           	             	                                      	 0.95956   0.21578  -1.41050   0.23515  
      	     	          	           	          	           	             	                                      	 0.08032   0.55830   0.13592  -0.77454  
  #41	4   	-24148.83151	Yes        	4        	0.409    	0.191    	 0.32274   0.19060   0.17956   0.30710	-0.77885   0.11486   0.56493   0.09906  
      	     	          	           	          	           	             	                                      	 0.19449  -1.27419   0.17382   0.90588  
      	     	          	           	          	           	             	                                      	 1.01541   0.18451  -1.43853   0.23861  
      	     	          	           	          	           	             	                                      	 0.10410   0.56223   0.13951  -0.80584  
  #42	4   	-24240.34232	Yes        	4        	0.600    	0.195    	 0.31808   0.19070   0.18130   0.30992	-0.79456   0.14800   0.51261   0.13394  
      	     	          	           	          	           	             	                                      	 0.24686  -1.36525   0.15362   0.96476  
      	     	          	           	          	           	             	                                      	 0.89933   0.16158  -1.24843   0.18751  
      	     	          	           	          	           	             	                                      	 0.13746   0.59363   0.10969  -0.84078  
  #43	4   	-24093.73690	Yes        	4        	0.923    	0.200    	 0.32462   0.19066   0.17976   0.30496	-0.75772   0.14431   0.55127   0.06214  
      	     	          	           	          	           	             	                                      	 0.24570  -1.36462   0.16547   0.95345  
      	     	          	           	          	           	             	                                      	 0.99553   0.17551  -1.39742   0.22639  
      	     	          	           	          	           	             	                                      	 0.06614   0.59609   0.13344  -0.79568  
  #44	4   	-24330.75248	Yes        	4        	0.609    	0.195    	 0.31125   0.19102   0.18722   0.31051	-0.84745   0.13789   0.58592   0.12364  
