. Sequence file : [Hominid_MMP20.phy]

. Model of nucleotides substitution : GTR

. Initial tree : [BioNJ]


. Data	Nb of 	Likelihood	Discrete   	Number of 	Gamma shape	Proportion of	Nucleotides frequencies               	Instantaneous rate matrix              	
  set	taxa	loglk     	gamma model	categories	parameter  	invariant    	f(A)      f(C)      f(G)      f(T)    	[A---------C---------G---------T------]	

      	     	          	           	          	           	             	                                      	 0.10260   0.56809   0.13165  -0.80234  
  #28	4   	-80792.32204	Yes        	4        	1.525    	0.204    	 0.27976   0.19912   0.19857   0.32254	-0.81740   0.12785   0.57407   0.11548  
      	     	          	           	          	           	             	                                      	 0.17962  -1.29819   0.20735   0.91122  
      	     	          	           	          	           	             	                                      	 0.80877   0.20793  -1.26139   0.24470  
      	     	          	           	          	           	             	                                      	 0.10017   0.56255   0.15065  -0.81336  
  #29	4   	-80486.14804	Yes        	4        	2.147    	0.186    	 0.28366   0.19856   0.19962   0.31816	-0.80948   0.11963   0.57198   0.11787  
      	     	          	           	          	           	             	                                      	 0.17091  -1.31423   0.20464   0.93868  
      	     	          	           	          	           	             	                                      	 0.81276   0.20355  -1.23359   0.21727  
      	     	          	           	          	           	             	                                      	 0.10508   0.58580   0.13632  -0.82720  
  #30	4   	-81178.29694	Yes        	4        	2.726    	0.195    	 0.28555   0.19523   0.19964   0.31958	-0.80800   0.12386   0.56353   0.12061  
      	     	          	           	          	           	             	                                      	 0.18116  -1.33777   0.23289   0.92372  
      	     	          	           	          	           	             	                                      	 0.80601   0.22773  -1.25151   0.21777  
      	     	          	           	          	           	             	                                      	 0.10777   0.56429   0.13604  -0.80810  
  #31	4   	-80522.37421	Yes        	4        	1.028    	0.200    	 0.28504   0.20045   0.19845   0.31605	-0.82259   0.12035   0.57308   0.12916  
      	     	          	           	          	           	             	                                      	 0.17113  -1.28062   0.18764   0.92184  
      	     	          	           	          	           	             	                                      	 0.82314   0.18953  -1.22998   0.21731  
      	     	          	           	          	           	             	                                      	 0.11649   0.58467   0.13645  -0.83762  
  #32	4   	-80379.75691	Yes        	4        	1.001    	0.200    	 0.28554   0.19541   0.19698   0.32206	-0.81689   0.13251   0.56503   0.11935  
      	     	          	           	          	           	             	                                      	 0.19363  -1.35552   0.20293   0.95897  
      	     	          	           	          	           	             	                                      	 0.81904   0.20131  -1.22186   0.20151  
      	     	          	           	          	           	             	                                      	 0.10582   0.58186   0.12325  -0.81093  
  #33	4   	-80505.48555	Yes        	4        	1.050    	0.200    	 0.28211   0.19680   0.20189   0.31920	-0.82629   0.13016   0.57586   0.12027  
      	     	          	           	          	           	             	                                      	 0.18657  -1.31919   0.22886   0.90376  
      	     	          	           	          	           	             	                                      	 0.80466   0.22309  -1.24565   0.21791  
      	     	          	           	          	           	             	                                      	 0.10630   0.55722   0.13783  -0.80135  
  #34	4   	-80594.48417	Yes        	4        	0.877    	0.199    	 0.28310   0.19821   0.19870   0.32000	-0.77145   0.12370   0.54082   0.10694  
      	     	          	           	          	           	             	                                      	 0.17667  -1.35061   0.22989   0.94405  
      	     	          	           	          	           	             	                                      	 0.77055   0.22933  -1.24606   0.24618  
      	     	          	           	          	           	             	                                      	 0.09460   0.58476   0.15286  -0.83223  
  #35	4   	-80622.20648	Yes        	4        	0.888    	0.200    	 0.28276   0.19798   0.19769   0.32157	-0.83888   0.13479   0.58389   0.12020  
      	     	          	           	          	           	             	                                      	 0.19251  -1.29743   0.17970   0.92522  
      	     	          	           	          	           	             	                                      	 0.83512   0.17996  -1.23790   0.22282  
      	     	          	           	          	           	             	                                      	 0.10570   0.56962   0.13698  -0.81230  
